sd4,sd5,sd6,sd1,sd2,sd3,q1,q3,q2,q5,q4,eligible,respondents,avg5,avg6,term,response_rate,name,q6,n5,n6,avg4,n1,n2,n3,n4,avg1,avg2,avg3
1.99,0.6,0.23,1.12,1.15,1.1,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'46'],[u'23'],4.4,2.9,Fall 2013,[u'50%'],6.815&nbsp;Digital and Computational Photography,Average hours you spent per week on this subject in the classroom,19,19,5.1,19,19,20,19,6.4,6.3,6.5
0.49,0.72,0.91,1.68,1.69,1.56,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'25'],[u'18'],4.4,3.8,Fall 2013,[u'72%'],6.820&nbsp;Foundations of Program Analysis,Average hours you spent per week on this subject in the classroom,16,16,6.7,16,16,16,15,5.8,5.8,6.2
0.84,0.96,1.84,1.11,0.86,0.84,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'57'],[u'33'],4.8,3.3,Fall 2013,[u'58%'],6.837&nbsp;Computer Graphics,Average hours you spent per week on this subject in the classroom,31,31,6.4,32,32,32,31,6.1,6.2,6.5
0.72,1.15,1.2,0.6,0.48,0.56,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'99'],[u'67'],4.0,3.0,Fall 2013,[u'68%'],6.840&nbsp;Theory of Computation,Average hours you spent per week on this subject in the classroom,67,61,6.6,66,65,66,66,6.6,6.7,6.7
1.03,1.38,1.53,0.82,0.7,1.19,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'23'],[u'17'],4.2,2.9,Fall 2013,[u'74%'],6.852&nbsp;Distributed Algorithms,Average hours you spent per week on this subject in the classroom,16,16,5.9,15,15,15,15,6.3,6.3,6.1
1.69,1.09,1.51,0.88,0.92,1.14,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'64'],[u'36'],4.8,4.7,Fall 2013,[u'56%'],6.854&nbsp;Advanced Algorithms,Average hours you spent per week on this subject in the classroom,35,35,5.2,35,35,35,34,6.4,6.4,6.4
0.99,1.12,2.52,1.26,1.01,1.18,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'114'],[u'69'],4.4,3.3,Fall 2013,[u'61%'],6.858&nbsp;Computer Systems Security,Average hours you spent per week on this subject in the classroom,68,66,6.1,68,67,68,67,6.1,6.3,6.4
1.99,0.6,0.23,1.12,1.15,1.1,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'46'],[u'23'],4.4,2.9,Fall 2013,[u'50%'],6.815&nbsp;Digital and Computational Photography,Average hours you spent per week on this subject in the classroom,19,19,5.1,19,19,20,19,6.4,6.3,6.5
0.7,0.42,0.0,1.03,0.97,0.52,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'12'],[u'10'],4.2,3.0,Fall 2013,[u'83%'],6.801&nbsp;Machine Vision,Average hours you spent per week on this subject in the classroom,10,9,6.4,10,10,10,10,6.2,6.4,6.6
1.68,1.11,1.29,1.61,1.46,1.64,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'151'],[u'106'],4.6,3.6,Fall 2013,[u'70%'],6.867&nbsp;Machine Learning,Average hours you spent per week on this subject in the classroom,101,100,4.7,101,102,102,93,5.2,5.4,5.6
0.77,1.2,0.41,1.25,1.0,1.0,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'62'],[u'43'],4.6,2.9,Fall 2013,[u'69%'],6.869&nbsp;Advances in Computer Vision,Average hours you spent per week on this subject in the classroom,40,36,6.4,40,40,40,40,5.8,5.9,6.1
0.82,0.79,0.41,1.39,1.2,1.31,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'17'],[u'9'],3.6,2.8,Fall 2013,[u'53%'],6.872&nbsp;Biomedical Computing,Average hours you spent per week on this subject in the classroom,7,6,4.0,8,8,8,4,4.8,5.0,5.0
0.57,0.81,0.81,1.32,0.94,0.7,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'38'],[u'20'],4.8,3.2,Fall 2013,[u'53%'],"6.047&nbsp;Computational Biology: Genomes, Networks, Evolution",Average hours you spent per week on this subject in the classroom,18,18,6.7,17,18,18,18,5.9,5.9,6.6
1.24,1.01,0.59,1.04,0.6,1.01,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'41'],[u'23'],4.4,3.0,Fall 2013,[u'56%'],6.885&nbsp;Advanced Topics in Computer Systems,Average hours you spent per week on this subject in the classroom,22,21,6.0,22,22,22,18,6.1,6.5,6.5
0.52,0.74,0.58,0.74,0.52,0.38,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'9'],[u'9'],4.4,3.0,Fall 2013,[u'100%'],6.888&nbsp;Advanced Topics in Computer Systems,Average hours you spent per week on this subject in the classroom,8,7,6.6,8,8,7,8,6.4,6.6,6.9
1.73,1.03,0.29,1.37,1.49,2.07,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'24'],[u'13'],4.2,3.1,Fall 2013,[u'54%'],6.891&nbsp;Advanced Topics in Theoretical Computer Science,Average hours you spent per week on this subject in the classroom,12,12,6.0,11,11,6,3,5.5,5.7,4.5
0.0,0.58,0.0,2.08,0.58,0.0,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'10'],[u'4'],4.3,2.0,Fall 2013,[u'40%'],6.892&nbsp;Advanced Topics in Theoretical Computer Science,Average hours you spent per week on this subject in the classroom,3,3,7.0,3,3,2,1,5.3,6.7,7.0
1.54,1.05,0.43,1.78,1.61,1.68,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'55'],[u'41'],3.8,4.0,Fall 2013,[u'75%'],2.723&nbsp;Engineering Innovation and Design,Average hours you spent per week on this subject in the classroom,40,39,5.0,40,40,40,39,5.0,5.4,4.6
2.21,0.42,0.79,2.27,1.83,1.97,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'43'],[u'18'],3.9,3.6,Fall 2013,[u'42%'],2.96&nbsp;Management in Engineering,Average hours you spent per week on this subject in the classroom,18,17,4.2,18,18,17,18,4.3,4.9,4.6
1.41,1.79,4.35,1.38,1.05,2.14,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'11'],[u'7'],5.0,5.3,Fall 2013,[u'64%'],6.932&nbsp;Linked Data Ventures,Average hours you spent per week on this subject in the classroom,6,7,4.0,6,6,6,5,3.5,3.5,4.2
1.42,0.94,0.59,1.35,1.15,1.36,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'50'],[u'27'],4.3,4.0,Fall 2013,[u'54%'],6.933&nbsp;Entrepreneurship in Engineering: The Founder&#039;s Journey,Average hours you spent per week on this subject in the classroom,25,24,5.5,25,23,25,25,5.7,6.0,5.4
0.5,0.55,0.55,1.22,0.71,0.55,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'8'],[u'5'],4.6,5.6,Fall 2013,[u'62%'],6.946&nbsp;Classical Mechanics: A Computational Approach,Average hours you spent per week on this subject in the classroom,5,5,6.8,5,5,5,4,6.0,6.0,6.6
0.49,1.06,0.38,0.35,0.52,0.52,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'9'],[u'8'],4.4,2.1,Fall 2013,[u'89%'],1.95&nbsp;Teaching College-Level Science and Engineering,Average hours you spent per week on this subject in the classroom,8,7,6.7,8,8,8,7,6.9,6.6,6.4
0.0,0.0,1.0,1.73,1.53,1.15,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'8'],[u'3'],4.0,2.0,Fall 2013,[u'38%'],6.A47&nbsp;Physics of Energy,Average hours you spent per week on this subject in the classroom,3,3,7.0,3,3,3,1,5.0,5.3,5.7
1.41,0.0,0.0,0.82,0.63,1.03,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'9'],[u'6'],4.0,2.0,Fall 2013,[u'67%'],6.A48&nbsp;Physics of Energy,Average hours you spent per week on this subject in the classroom,6,5,6.0,6,6,6,4,5.7,6.0,5.3
0.0,0.45,0.0,0.74,0.0,0.89,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'14'],[u'9'],3.8,2.0,Fall 2013,[u'64%'],6.A57&nbsp;Founder&#039;s Light,Average hours you spent per week on this subject in the classroom,5,8,7.0,8,7,5,3,6.4,7.0,6.6
0.0,0.0,0.0,0.71,0.71,0.0,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'7'],[u'3'],4.0,2.0,Fall 2013,[u'43%'],6.A58&nbsp;Quest for Artificial Intellige,Average hours you spent per week on this subject in the classroom,2,2,7.0,2,2,1,1,6.5,6.5,7.0
0.87,0.53,0.0,0.97,0.83,1.09,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'14'],[u'10'],4.0,2.0,Fall 2013,[u'71%'],6.A59&nbsp;Secrets of Innovation:,Average hours you spent per week on this subject in the classroom,8,8,6.3,9,9,9,9,6.2,6.2,5.8
1.2,0.88,2.4,0.93,1.33,1.65,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'76'],[u'35'],4.3,1.5,Fall 2013,[u'46%'],6.UAR&nbsp;Seminar in Undergraduate Advanced Research,Average hours you spent per week on this subject in the classroom,33,34,6.4,35,35,34,31,6.3,6.0,5.7
1.26,0.71,0.48,1.08,1.17,1.25,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'207'],[u'97'],4.1,3.1,Fall 2013,[u'47%'],6.UAT&nbsp;Preparation for Undergraduate Advanced Project,Average hours you spent per week on this subject in the classroom,92,90,5.9,95,95,95,90,6.2,6.1,6.1
1.0,0.96,0.0,0.58,1.15,0.96,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'5'],[u'4'],4.8,3.0,Fall 2013,[u'80%'],6.S077&nbsp;Special Subject in Electrical Engineering and Computer Science,Average hours you spent per week on this subject in the classroom,4,4,6.5,4,3,4,4,6.5,6.3,5.8
0.33,0.71,0.33,0.93,0.71,0.33,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'12'],[u'9'],3.7,2.9,Fall 2013,[u'75%'],6.S078&nbsp;Special Subject in Electrical Engineering and Computer Science,Average hours you spent per week on this subject in the classroom,9,9,6.9,9,9,9,9,5.9,6.7,6.9
0.0,0.5,0.0,1.73,1.41,0.58,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'12'],[u'4'],3.8,3.0,Fall 2013,[u'33%'],6.S081&nbsp;Special Subject in Electrical Engineering and Computer Science,Average hours you spent per week on this subject in the classroom,4,4,7.0,4,4,4,3,5.5,6.0,6.5
0.0,0.0,0.0,0.89,0.89,0.89,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'6'],[u'5'],4.0,3.0,Fall 2013,[u'83%'],6.S082&nbsp;Special Subject in Electrical Engineering and Computer Science,Average hours you spent per week on this subject in the classroom,5,4,7.0,5,5,5,4,6.4,6.6,6.4
1.94,1.22,1.1,0.83,0.91,0.74,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'24'],[u'16'],4.1,2.3,Fall 2013,[u'67%'],6.S195&nbsp;Special Laboratory Subject in Electrical Engineering and Computer Science,Average hours you spent per week on this subject in the classroom,15,15,5.9,15,15,15,15,6.4,6.4,6.5
2.12,0.0,0.5,2.08,1.26,2.16,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'22'],[u'4'],4.0,2.3,Fall 2013,[u'18%'],6.S198&nbsp;Special Laboratory Subject in Electrical Engineering and Computer Science,Average hours you spent per week on this subject in the classroom,4,4,5.5,4,4,4,2,4.5,5.3,5.0
0.79,0.58,0.0,0.79,0.79,0.79,Subject expectations were clearly defined,Assignments contributed to my learning,Subject&#039;s learning objectives were met,The pace of the class (content and assignments) was:,Grading thus far has been fair,[u'9'],[u'7'],4.0,3.0,Fall 2013,[u'78%'],6.S977&nbsp;Special Subject in Electrical Engineering and Computer Science,Average hours you spent per week on this subject in the classroom,7,7,6.6,7,7,7,7,6.4,6.4,6.6
